category,amt,gender,street,city,state,zip,city_pop,job,age,day_of_week,transaction_min,transaction_hour,transaction_date,transaction_month,transaction_distance,is_fraud
Shopping Net,948.47,Male,269 Sanchez Rapids,Elizabeth,New Jersey,7208,124967,Operational researcher,39,Wednesday,5,13,23,10,73.67360409720159,1
Grocery Pos,305.54,Male,478 Alexandria Mount,Bolton,North Carolina,28423,2290,"Engineer, biomedical",74,Friday,37,22,28,6,92.58392340079641,1
Grocery Pos,293.99,Male,7290 Ashlee Keys,Kissee Mills,Missouri,65680,1201,"Engineer, agricultural",39,Sunday,44,3,10,11,116.38197781939722,1
Personal Care,17.49,Female,927 Cummings Manor Suite 318,Greendale,Wisconsin,53129,13973,Logistics and distribution manager,38,Wednesday,9,23,4,9,57.85228663685686,1
Grocery Pos,304.1,Male,715 Courtney Pike Suite 932,Keller,Texas,76248,95035,Probation officer,32,Wednesday,23,1,4,12,109.77661013741637,1
Shopping Pos,925.39,Male,7911 Campbell Crossing Apt. 725,Stoneham,Massachusetts,2180,21437,Artist,56,Sunday,12,19,14,6,110.90561211175525,1
Grocery Pos,300.05,Female,257 Victor Stravenue,Hampton,Virginia,23666,136895,Accounting technician,80,Sunday,56,2,20,1,115.61535002164784,1
Shopping Net,1140.22,Male,27718 Mason Bypass,Mount Saint Joseph,Ohio,45051,177,Exhibition designer,46,Friday,59,22,28,2,95.24174230179662,1
Shopping Net,1203.08,Male,00821 Joanna Meadow,Dalton,Wisconsin,53926,1628,Civil Service fast streamer,53,Friday,7,23,21,2,55.25078782773096,1
Shopping Net,928.13,Male,95351 Sullivan Viaduct Apt. 239,Port Charlotte,Florida,33981,79008,Quantity surveyor,35,Tuesday,20,22,16,4,49.60932223077559,1
Shopping Net,942.03,Female,28311 Dennis Trace,Albany,New York,12222,151022,"Designer, textile",80,Friday,25,22,8,2,116.06806184234736,1
Gas Transport,18.12,Male,977 Rita Grove Apt. 000,Rock Tavern,New York,12575,2258,Building surveyor,83,Saturday,11,2,1,2,112.52284191033641,1
Gas Transport,10.06,Male,04975 Allison Shoal,Bronx,New York,10463,1382480,"Therapist, drama",29,Saturday,51,2,27,7,125.55864540687689,1
Grocery Pos,326.21,Male,5270 Megan Burg Suite 756,Halma,Minnesota,56729,140,"Embryologist, clinical",77,Monday,16,23,11,3,66.33837906263038,1
Shopping Pos,838.3,Male,8850 Jessica Center,Atlantic,Virginia,23303,741,"Geologist, engineering",33,Thursday,42,18,12,12,23.520193747844548,1
Shopping Pos,854.32,Male,265 Mullen Park Apt. 307,Summerfield,North Carolina,27358,14075,"Buyer, industrial",91,Friday,25,23,20,3,52.1707936051451,1
Misc Net,759.35,Female,446 Daniel View Suite 663,Benton,Tennessee,37307,4870,Dancer,62,Monday,53,22,30,12,58.69608595400891,1
Shopping Pos,924.78,Male,822 Austin Spur,North Judson,Indiana,46366,5791,"Doctor, general practice",60,Thursday,8,22,25,7,66.9949270589271,1
Grocery Pos,283.56,Male,995 Benjamin Bypass,Du Pont,Georgia,31630,419,Advertising account executive,29,Wednesday,29,0,25,12,69.32725419014278,1
Misc Net,648.99,Male,941 Adam Stravenue,Nazareth,Texas,79063,686,Petroleum engineer,39,Sunday,29,22,3,2,29.881843128905643,1
Grocery Pos,335.29,Male,04139 Johnson Prairie Suite 401,Detroit,Michigan,48206,673342,Trading standards officer,73,Tuesday,50,16,5,3,61.393244422413495,1
Gas Transport,18.04,Male,44951 Williams Brooks,Pearlington,Mississippi,39572,1414,"Therapist, occupational",62,Sunday,57,2,10,5,48.21212873695123,1
Shopping Net,961.51,Male,8850 Jessica Center,Atlantic,Virginia,23303,741,"Geologist, engineering",33,Wednesday,11,22,11,12,77.53187433123882,1
Shopping Net,857.79,Male,748 Bryan Fields Suite 935,Riverton,Wyoming,82501,19408,"Lecturer, higher education",26,Wednesday,54,20,29,5,84.98941795862046,1
Kids Pets,19.7,Female,3531 Hamilton Highway,Roma,Texas,78584,18128,IT trainer,29,Sunday,6,22,25,8,68.66537911936807,1
Grocery Pos,340.41,Female,34180 Lopez Plaza,Fields Landing,California,95537,276,"Scientist, audiological",90,Wednesday,47,23,10,4,124.24846407991974,1
Shopping Net,956.07,Male,2161 Blankenship Freeway,West Hartford,Vermont,5084,140,"Development worker, community",31,Saturday,15,18,30,5,39.84422380233468,1
Misc Net,831.25,Male,7302 Samantha Mission,Carroll,Nebraska,68723,566,Metallurgist,45,Saturday,8,23,22,2,86.03060722009698,1
Shopping Net,1000.13,Male,145 Jeffrey Key Suite 668,Lakeview,Michigan,48850,4474,Emergency planning/management officer,43,Monday,36,22,6,5,92.73700693041997,1
Shopping Net,964.75,Female,02110 Lucas Freeway Suite 517,Battle Creek,Iowa,51006,1075,"Teacher, early years/pre",22,Monday,30,22,25,2,113.75480180805236,1
Shopping Pos,795.65,Female,144 Evans Islands Apt. 683,Burbank,Washington,99323,3684,Musician,39,Thursday,37,1,23,4,93.23587442275752,1
Grocery Pos,319.09,Male,03512 Jackson Ports,Reno,Nevada,89512,276896,Immunologist,22,Monday,15,2,25,11,100.74929550302058,1
Grocery Pos,278.62,Female,6114 Adams Harbor Suite 096,Kingsford Heights,Indiana,46346,1423,"Psychologist, forensic",22,Friday,53,11,15,5,15.360549370320792,1
Shopping Net,1047.43,Female,659 Nicole Cove Suite 560,New Waverly,Texas,77358,4993,"Scientist, biomedical",71,Sunday,49,23,29,9,119.03016434102179,1
Travel,8.76,Male,923 Jordan Road,Afton,Minnesota,55001,2916,Barrister's clerk,84,Thursday,9,22,21,2,60.62328123873818,1
Misc Net,854.92,Female,53142 Katrina Roads Suite 889,Monitor,Washington,98836,584,Medical technical officer,50,Saturday,54,20,31,8,45.31992337851058,1
Misc Pos,48.99,Female,343 Joshua Views,Liberty Mills,Indiana,46946,136,Soil scientist,67,Saturday,40,18,25,1,7.485097112734791,1
Misc Pos,50.96,Male,062 Poole Hollow Apt. 815,Deadwood,South Dakota,57732,1979,Multimedia programmer,49,Thursday,7,22,17,1,67.45042800660464,1
Misc Net,888.13,Male,728 Randolph Causeway Suite 894,Beaver Falls,Pennsylvania,15010,28425,Lawyer,49,Saturday,46,23,2,11,25.37321098662756,1
Grocery Pos,260.11,Male,853 Miller Bypass Suite 802,Broomfield,Colorado,80021,92337,"Engineer, electronics",53,Wednesday,49,22,20,5,35.134361275188176,1
Kids Pets,19.11,Female,14017 Thomas Plaza,Loami,Illinois,62661,1213,English as a foreign language teacher,28,Sunday,43,22,17,2,70.46273257886638,1
Shopping Net,1042.19,Male,0547 Russell Ford Suite 574,Kirk,Colorado,80824,207,Network engineer,65,Friday,15,22,1,5,68.09397042365077,1
Shopping Pos,923.4,Female,755 Solis Isle Suite 075,New Memphis,Illinois,62266,254,Magazine journalist,67,Wednesday,2,14,6,2,97.93149304012522,1
Misc Pos,830.58,Female,12444 Jacob Pines,Nobleboro,Maine,4555,1643,Financial trader,43,Friday,46,7,11,1,74.94821950003713,1
Grocery Pos,309.33,Male,38352 Parrish Road Apt. 652,North Augusta,South Carolina,29860,46944,Secondary school teacher,77,Wednesday,59,1,17,4,51.13071441111325,1
Personal Care,47.23,Female,4655 David Island,Dublin,Pennsylvania,18917,2158,Transport planner,59,Monday,9,23,3,2,87.80139258649795,1
Misc Net,816.89,Female,44864 Melton Vista Suite 310,San Jose,California,95148,973849,Science writer,64,Sunday,4,23,13,1,60.08291728208669,1
Kids Pets,21.01,Male,995 Benjamin Bypass,Du Pont,Georgia,31630,419,Advertising account executive,29,Wednesday,24,15,25,12,99.96713254220366,1
Shopping Net,960.73,Male,622 Williams Trafficway,Ringwood,Illinois,60072,928,Outdoor activities/education manager,35,Thursday,11,22,7,5,48.688480935593915,1
Shopping Pos,870.8,Female,621 Reilly Road Apt. 756,Albany,New York,12207,151022,Sales executive,62,Sunday,18,22,29,9,104.73890946338221,1
Kids Pets,16.33,Female,174 Jennifer Meadow Apt. 467,Mountain Park,Oklahoma,73559,540,Research scientist (life sciences),36,Tuesday,20,23,29,1,98.34863331892652,1
Grocery Pos,324.59,Male,8510 Acevedo Burgs,Kent,Oregon,97033,60,Museum education officer,77,Thursday,11,0,12,9,116.94524454277642,1
Shopping Pos,779.87,Female,24607 Charles Mountains,Fenelton,Pennsylvania,16034,2054,Operations geologist,57,Friday,54,23,20,3,109.30115035757879,1
Gas Transport,11.68,Male,7470 John Tunnel Suite 937,Aurora,Colorado,80014,389246,"Scientist, marine",50,Monday,41,3,14,10,89.54085579682884,1
Grocery Pos,329.2,Female,292 Cassidy Oval,Lowville,New York,13367,8830,Theme park manager,28,Monday,26,3,21,10,97.57184412930606,1
Entertainment,565.08,Female,382 Williams Stream Suite 197,Scotland,Maryland,20687,313,Insurance underwriter,43,Thursday,5,23,28,11,105.4144625338581,1
Shopping Net,1063.03,Female,63542 Luna Brook Apt. 012,Notrees,Texas,79759,23,Cytogeneticist,51,Saturday,29,23,20,6,101.50476424430255,1
Grocery Pos,293.04,Male,5554 Mack Meadows,Premier,West Virginia,24878,337,Advice worker,34,Wednesday,19,1,8,1,22.99063096871656,1
Misc Net,644.3,Male,941 Adam Stravenue,Nazareth,Texas,79063,686,Petroleum engineer,39,Monday,5,22,4,2,24.322653643881022,1
Shopping Net,881.95,Male,8738 Richard Brooks,Moab,Utah,84532,9772,Location manager,30,Saturday,57,22,18,5,106.01209377666262,1
Home,228.49,Female,2870 Bean Terrace Apt. 756,Thomas,West Virginia,26292,836,Forensic psychologist,39,Monday,48,22,15,6,102.77799599118758,1
Shopping Net,1245.75,Female,376 Brown Courts,Yellowstone National Park,Wyoming,82190,369,Materials engineer,78,Saturday,1,23,5,10,14.843139369050833,1
Shopping Net,1074.45,Female,23142 Montoya Island Apt. 742,Corsica,Pennsylvania,15829,1274,Maintenance engineer,70,Monday,3,23,21,10,93.38270266862254,1
Grocery Pos,299.18,Male,70761 Fitzpatrick Brooks Suite 631,Saxon,Wisconsin,54559,795,Television/film/video producer,33,Friday,13,9,8,2,98.37331373750176,1
Grocery Pos,281.06,Male,542 Steve Curve Suite 011,Collettsville,North Carolina,28611,885,Soil scientist,31,Wednesday,6,1,2,1,68.9534417724032,1
Entertainment,434.55,Male,5155 Mary Common Apt. 927,Utica,Pennsylvania,16362,1102,Garment/textile technologist,30,Saturday,29,23,13,7,83.6939115566852,1
Gas Transport,9.59,Female,1984 Taylor Island Suite 836,Falls Church,Virginia,22046,116155,Chartered accountant,36,Saturday,3,1,23,2,94.21766677311267,1
Shopping Pos,772.08,Female,6602 Ortiz Pine Apt. 179,Blooming Grove,Texas,76626,1563,Financial adviser,42,Monday,42,0,11,5,54.343076810387906,1
Grocery Pos,291.51,Male,69459 Rachel Prairie Apt. 850,Ironton,Ohio,45638,21635,Geochemist,18,Tuesday,41,11,8,1,122.86608914714198,1
Home,253.33,Female,825 Martinez Springs Apt. 625,White Sulphur Springs,West Virginia,24986,5216,Community development worker,26,Friday,8,22,20,9,103.45798806570967,1
Kids Pets,21.93,Female,6911 Nicholas Keys Apt. 237,Armagh,Pennsylvania,15920,922,Early years teacher,47,Thursday,38,12,31,1,97.55574040774171,1
Grocery Pos,373.31,Female,6760 Donovan Lakes,Clayton,Oklahoma,74536,1760,Occupational psychologist,47,Friday,43,0,13,12,60.37342807111112,1
Shopping Pos,766.6,Female,554 Mcdonald Valley Apt. 539,Meridian,Texas,76665,2526,Phytotherapist,49,Saturday,1,2,2,11,120.02855913331767,1
Shopping Net,859.91,Male,31493 Garcia Summit,Athena,Oregon,97813,1302,Dealer,44,Friday,18,22,13,3,46.587006322609604,1
Shopping Net,947.84,Male,2851 Foster Shoals,Schaefferstown,Pennsylvania,17088,823,Gaffer,37,Monday,46,22,12,8,98.75177450805431,1
Shopping Net,1048.75,Male,554 Harrell Ferry Suite 533,Brookfield,Wisconsin,53045,41111,Fitness centre manager,80,Thursday,31,22,7,5,61.681469282129605,1
Shopping Net,1217.09,Female,6682 Green Forks,Ogdensburg,New Jersey,7439,2456,Senior tax professional/tax inspector,25,Saturday,5,2,18,5,67.76455265644822,1
Shopping Pos,972.58,Male,44951 Williams Brooks,Pearlington,Mississippi,39572,1414,"Therapist, occupational",62,Saturday,0,12,9,5,24.952261709628143,1
Grocery Net,9.42,Male,8465 Reed Green Suite 559,Montandon,Pennsylvania,17850,645,Orthoptist,45,Sunday,20,11,28,7,87.70946866222918,1
Shopping Net,915.92,Female,27823 Andrew Underpass Suite 948,Metairie,Louisiana,70003,137067,Advertising account planner,69,Saturday,2,22,23,5,30.57578595943677,1
Grocery Pos,322.96,Male,70147 Amanda Fields,Saint Bonaventure,New York,14778,1453,Toxicologist,46,Friday,32,23,3,4,8.122535373645224,1
Shopping Net,1029.21,Male,162 Jessica Row Apt. 072,Hatch,Utah,84735,258,Geoscientist,59,Friday,16,18,17,4,69.18199322806274,1
Shopping Pos,812.59,Female,285 George Lake,Beaver Falls,Pennsylvania,15010,28425,Podiatrist,20,Sunday,50,23,3,5,82.22525603797177,1
Shopping Pos,750.66,Female,14601 Downs Skyway Apt. 440,Sterling City,Texas,76951,1143,"Scientist, biomedical",57,Sunday,26,22,23,6,106.41171299216181,1
Travel,11.56,Female,00378 Sarah Burgs Suite 106,Winnsboro,South Carolina,29180,14267,Solicitor,57,Monday,17,22,9,3,67.02615281862647,1
Gas Transport,13.79,Male,6905 Hutchinson Inlet,Kenner,Louisiana,70065,68211,Energy engineer,86,Saturday,24,1,11,1,89.53188052963901,1
Home,225.88,Female,81708 Christopher Plaza,Jordanville,New York,13361,824,Travel agency manager,34,Friday,36,22,18,10,71.11873829203273,1
Misc Net,780.63,Female,0107 Clements Point,American Fork,Utah,84003,42384,Futures trader,27,Saturday,11,2,3,8,80.2794686773405,1
Shopping Net,1115.5,Female,740 Moses Trail Suite 452,Byesville,Ohio,43723,4984,Legal secretary,67,Monday,8,23,23,12,53.45789747119551,1
Misc Net,784.69,Female,840 Werner Lock Apt. 852,Campbell,Nebraska,68932,493,"Surveyor, minerals",79,Thursday,14,22,16,5,32.22783044031161,1
Shopping Pos,809.39,Male,148 Baker Field,Chester Heights,Pennsylvania,19017,348,Management consultant,74,Sunday,29,22,13,10,74.3681040169704,1
Shopping Pos,877.44,Male,31472 Cody Place Suite 740,Kensington,Maryland,20895,19054,Operations geologist,44,Thursday,1,22,4,6,69.94349709696715,1
Misc Net,671.93,Male,18316 Cannon Place,Newport,Maine,4953,3228,Lexicographer,24,Sunday,47,0,24,11,51.3927396148533,1
Grocery Pos,324.59,Male,821 Solis Points,Muskegon,Michigan,49440,128715,Historic buildings inspector/conservation officer,24,Friday,37,0,6,12,79.55625896365859,1
Grocery Pos,315.56,Male,242 Brian Mountain,Laredo,Texas,78040,248858,Video editor,48,Sunday,4,9,3,2,84.1530891096402,1
Shopping Net,864.43,Female,76752 David Lodge Apt. 064,Breesport,New York,14816,520,Psychotherapist,28,Tuesday,58,0,5,3,66.64026636833543,1
Home,265.76,Female,825 Martinez Springs Apt. 625,White Sulphur Springs,West Virginia,24986,5216,Community development worker,26,Friday,5,23,20,9,121.92467677465547,1
Grocery Net,13.53,Male,4725 Hurst Curve Apt. 634,Holliday,Texas,76366,2317,Chief Technology Officer,55,Monday,23,2,1,4,115.3229881362969,1
Kids Pets,18.9,Female,6970 Blake Trail,Clearwater,Florida,33760,172247,"Geneticist, molecular",40,Wednesday,15,23,6,3,57.97455861604739,1
Misc Pos,911.8,Female,474 Allen Haven,North Loup,Nebraska,68859,509,"Nurse, children's",40,Tuesday,52,0,14,4,136.01041244737752,1
Entertainment,645.21,Female,7177 Steven Forges,Sixes,Oregon,97476,217,Retail merchandiser,92,Monday,21,23,10,2,107.58369799606027,1
Health Fitness,19.97,Female,22084 Smith Roads Suite 776,Hurley,South Dakota,57036,811,Neurosurgeon,48,Friday,26,13,17,1,32.23340352179353,1
Misc Pos,919.58,Female,6963 Russell Causeway Suite 231,Galatia,Illinois,62935,1943,"Restaurant manager, fast food",48,Sunday,22,2,27,1,109.15616725905547,1
Grocery Pos,288.7,Female,4407 Lisa Course,West Frankfort,Illinois,62896,12626,Trading standards officer,23,Tuesday,33,3,12,2,108.43098118567157,1
Shopping Pos,956.19,Male,492 West Crossing,Clarion,Pennsylvania,16214,10127,Broadcast journalist,63,Wednesday,45,23,1,5,71.85647073683676,1
Misc Net,830.09,Female,00378 Sarah Burgs Suite 106,Winnsboro,South Carolina,29180,14267,Solicitor,57,Sunday,19,22,8,3,43.30135480228224,1
Health Fitness,17.81,Female,2870 Bean Terrace Apt. 756,Thomas,West Virginia,26292,836,Forensic psychologist,39,Monday,37,13,15,6,100.24500343641729,1
Shopping Pos,669.39,Male,45654 Hess Rest,Fort Washakie,Wyoming,82514,1645,Freight forwarder,43,Monday,9,19,30,12,47.472407100111845,1
Shopping Net,887.07,Female,250 Carrie Throughway,University,Mississippi,38677,4198,Curator,18,Tuesday,43,22,14,5,48.569595959157226,1
Shopping Net,822.01,Male,868 Brady Mill Apt. 837,Gretna,Louisiana,70056,55581,Biomedical scientist,47,Friday,28,22,28,6,116.90590989610469,1
Misc Pos,8.58,Male,5569 Phillips Neck Apt. 003,Coffeeville,Mississippi,38922,3451,Financial trader,36,Monday,37,22,2,3,97.42029508463854,1
Entertainment,436.78,Male,0371 Aimee Neck Suite 856,Sacramento,California,95827,757530,Magazine features editor,40,Sunday,35,15,1,9,108.07012082472333,1
Home,285.39,Female,87665 Karen Mill Apt. 586,Fort Myers,Florida,33967,224256,Paramedic,34,Saturday,5,23,23,11,125.87250266950058,1
Shopping Pos,698.28,Female,053 Kim Valley Suite 928,Old Hickory,Tennessee,37138,22191,Prison officer,25,Monday,9,0,23,9,90.2580765800053,1
Shopping Pos,1023.45,Male,184 Miller Manors,Wittenberg,Wisconsin,54499,3223,Senior tax professional/tax inspector,65,Saturday,58,22,14,9,61.62987886651774,1
Grocery Pos,352.89,Female,2481 Mills Lock,Plainfield,New Jersey,7060,71485,Leisure centre manager,46,Sunday,7,2,2,2,96.1628056210912,1
Grocery Net,11.72,Male,61390 Hayes Port,Romulus,Michigan,48174,31515,Police officer,49,Sunday,2,2,1,3,104.11488415153191,1
Gas Transport,9.13,Male,956 Paul Fields Suite 108,Orr,Minnesota,55771,1680,Horticultural therapist,43,Wednesday,13,0,20,11,90.90505805839405,1
Grocery Pos,313.56,Male,7483 Navarro Flats,Freedom,Wyoming,83120,471,"Education officer, museum",53,Sunday,9,10,7,6,111.05420901298571,1
Misc Net,758.79,Female,9808 Ellis Bypass,Mount Morris,New York,14510,4895,Acupuncturist,61,Thursday,17,22,7,2,88.28538466729964,1
Grocery Pos,274.22,Female,621 Reilly Road Apt. 756,Albany,New York,12207,151022,Sales executive,62,Sunday,41,0,29,9,11.3556049550447,1
Shopping Net,1289.89,Female,01505 Amy Stravenue,Dayton,Ohio,45415,479994,Environmental manager,49,Saturday,19,1,17,8,58.59151472030678,1
Grocery Pos,272.06,Male,1287 Michael Roads,Washoe Valley,Nevada,89704,4290,Animal nutritionist,30,Sunday,57,2,1,9,61.99149633061961,1
Shopping Net,1159.35,Male,086 Pierce Cove,Pikesville,Maryland,21208,33917,Company secretary,42,Tuesday,10,23,17,9,66.92604743630237,1
Shopping Pos,880.7,Male,3433 Jones Branch,Fiddletown,California,95629,832,Immigration officer,32,Monday,38,19,23,9,75.63384324984676,1
Health Fitness,19.26,Female,950 Sheryl Spurs,Dunlevy,Pennsylvania,15432,427,Mining engineer,68,Wednesday,20,15,7,8,109.30360915035183,1
Misc Net,813.03,Female,91745 Davis Crossing,Noblesville,Indiana,46060,64438,"Pharmacist, hospital",52,Thursday,34,16,12,3,40.385110474747286,1
Grocery Pos,350.69,Male,0611 Stafford Valley Suite 504,Naples,Florida,34112,276002,"Programme researcher, broadcasting/film/video",40,Sunday,51,1,23,6,113.7558751245917,1
Shopping Net,916.31,Male,550 Cunningham Squares,Dadeville,Alabama,36853,8269,Minerals surveyor,43,Wednesday,42,23,13,5,65.84847588484833,1
Gas Transport,11.04,Male,7369 Gabriel Tunnel,Pointe Aux Pins,Michigan,49775,95,Electrical engineer,25,Friday,45,8,24,5,57.003900121488854,1
Shopping Net,1045.55,Male,23656 Harris Gardens Suite 698,El Paso,Texas,79906,749635,Market researcher,47,Friday,7,14,8,5,76.53295990110809,1
Grocery Pos,325.43,Female,58761 Brewer Rapids,Skytop,Pennsylvania,18357,104,Financial trader,92,Monday,4,23,30,12,44.63957822834293,1
Health Fitness,17.7,Male,0423 Kirby Field Suite 623,Wilmette,Illinois,60091,27020,Trade mark attorney,33,Thursday,29,22,21,2,84.7826097817507,1
Shopping Net,1134.36,Female,257 Victor Stravenue,Hampton,Virginia,23666,136895,Accounting technician,80,Saturday,57,23,19,1,113.80991803410207,1
Grocery Net,16.73,Female,7402 West Ranch,Lowell,Oregon,97452,1420,Systems analyst,54,Tuesday,14,2,12,2,102.26190765073112,1
Misc Pos,774.77,Female,44197 Jeffrey Port Suite 050,Bridgeport,New Jersey,8014,504,"Engineer, control and instrumentation",40,Tuesday,27,11,19,5,90.48111229181448,1
Gas Transport,8.27,Male,83359 Lopez Point,Clune,Pennsylvania,15727,168,Race relations officer,41,Monday,18,0,30,12,20.82947414468071,1
Grocery Net,9.27,Male,0110 Ashley Forest,Tekoa,Washington,99033,895,Clothing/textile technologist,20,Sunday,48,3,11,8,50.401050771125206,1
Misc Net,776.94,Male,8510 Acevedo Burgs,Kent,Oregon,97033,60,Museum education officer,77,Friday,29,22,13,9,29.07371828480631,1
Kids Pets,18.89,Female,589 Matthew Brooks,Houston,Texas,77026,2906700,Animator,37,Tuesday,10,23,7,4,74.42268152770004,1
Shopping Net,1042.27,Male,61107 Edwards Dam Apt. 463,Big Creek,Kentucky,40914,467,"Psychologist, forensic",36,Sunday,38,22,12,1,66.91039910520956,1
Misc Pos,8.95,Male,89871 Woodard Spring Suite 714,Mineral,Virginia,23117,9141,Personnel officer,81,Tuesday,16,15,10,9,106.56570956515341,1
Misc Net,813.34,Male,05597 Michael Spurs,Parks,Arizona,86018,759,"Geologist, engineering",62,Wednesday,36,23,27,11,78.64934617315674,1
Shopping Net,888.44,Male,168 Michael Coves Suite 343,June Lake,California,93529,633,Health service manager,92,Tuesday,52,22,16,4,56.07553606920722,1
Shopping Pos,701.48,Male,3683 Parrish Circles,Pueblo,Colorado,81005,151815,Further education lecturer,31,Monday,54,16,13,5,83.04607146901981,1
Personal Care,20.51,Male,572 Davis Mountains,Lake Jackson,Texas,77566,28739,Futures trader,20,Thursday,24,23,25,4,99.73418597752837,1
Grocery Pos,313.21,Female,84079 Thomas Burgs,Tomales,California,94971,337,Occupational psychologist,65,Saturday,47,22,18,5,88.88760216402406,1
Gas Transport,8.45,Male,368 Rollins Fort Apt. 076,Aurora,Colorado,80019,389246,Industrial/product designer,81,Monday,51,0,25,3,91.70463133756238,1
Misc Net,744.36,Female,1233 Sutton Road Suite 701,Bynum,Texas,76631,522,Commercial/residential surveyor,73,Thursday,9,22,7,3,73.02786075820772,1
Grocery Pos,292.23,Male,82448 Tucker Cliff,Kittery Point,Maine,3905,1780,Broadcast engineer,37,Sunday,26,23,12,1,65.05056573836575,1
Grocery Pos,317.85,Female,9345 Spencer Junctions Suite 183,Alpharetta,Georgia,30009,165556,Prison officer,22,Sunday,14,3,21,7,48.42734497037353,1
Shopping Pos,1234.22,Male,06959 Stephen Branch Suite 246,Thida,Arkansas,72165,111,Careers information officer,19,Tuesday,17,12,17,12,97.60860408121093,1
Shopping Net,925.9,Female,01505 Amy Stravenue,Dayton,Ohio,45415,479994,Environmental manager,49,Saturday,8,0,17,8,84.74643466412249,1
Grocery Pos,349.18,Female,44197 Jeffrey Port Suite 050,Bridgeport,New Jersey,8014,504,"Engineer, control and instrumentation",40,Tuesday,54,2,19,5,68.07181340750573,1
Shopping Net,895.19,Male,09419 Lewis Rapids,Bay City,Michigan,48706,67858,Water quality scientist,24,Thursday,34,22,11,7,89.18096370526864,1
Grocery Pos,386.04,Female,07943 Davis River,Grimesland,North Carolina,27837,5903,Manufacturing systems engineer,27,Friday,21,0,20,3,75.33839469871155,1
Shopping Net,949.79,Male,29156 Mark Park Apt. 108,Utica,Kansas,67584,269,Product/process development scientist,57,Friday,43,22,6,12,81.11265046485074,1
Home,207.35,Female,25961 Beverly Union Apt. 042,North Wilkesboro,North Carolina,28659,21134,Dispensing optician,35,Monday,7,22,24,6,86.75712938208257,1
Shopping Net,927.87,Male,9242 Vanessa Ramp Apt. 525,Smithfield,Illinois,61477,631,Futures trader,46,Sunday,41,23,5,5,36.426163766808216,1
Misc Net,690.49,Female,350 Stacy Glens,Spencer,South Dakota,57374,343,"Development worker, international aid",48,Tuesday,59,3,10,3,77.88252171399378,1
Kids Pets,19.9,Female,927 Cummings Manor Suite 318,Greendale,Wisconsin,53129,13973,Logistics and distribution manager,38,Tuesday,41,22,3,9,106.90732100685389,1
Shopping Pos,1025.34,Male,411 Laurie Fords,Cass,West Virginia,24927,365,Special effects artist,49,Thursday,48,20,28,2,70.28064435639489,1
Kids Pets,22.37,Female,77663 Colleen Freeway,Moundsville,West Virginia,26041,16183,Physiotherapist,43,Tuesday,30,23,9,6,45.938499221247135,1
Shopping Pos,1010.03,Female,493 Todd Views,Gaithersburg,Maryland,20882,135332,Clinical biochemist,84,Sunday,42,23,24,5,77.50842743759677,1
Shopping Pos,875.77,Female,471 Marquez Prairie Suite 680,Matthews,Missouri,63867,1019,Aeronautical engineer,40,Tuesday,8,22,10,9,91.84680288035385,1
Shopping Pos,1029.91,Male,92213 Lee Well,West Palm Beach,Florida,33404,459921,"Administrator, arts",50,Saturday,52,14,23,11,118.84306705336775,1
Grocery Pos,314.39,Male,0611 Stafford Valley Suite 504,Naples,Florida,34112,276002,"Programme researcher, broadcasting/film/video",40,Saturday,57,3,22,6,121.39992776513084,1
Grocery Pos,310.06,Female,715 Joy Prairie,Unionville,Missouri,63565,3805,"Investment banker, corporate",69,Tuesday,8,0,9,7,131.72493997314868,1
Gas Transport,8.14,Female,551 Zachary Freeway,Bailey,North Carolina,27807,6629,Call centre manager,57,Thursday,41,1,3,10,91.03357317923172,1
Shopping Pos,973.94,Female,6778 Campos Field,Bonfield,Illinois,60913,1617,Medical secretary,29,Sunday,3,3,23,6,118.7583867004799,1
Shopping Net,888.06,Male,33165 Larry Walks Suite 960,Ragland,Alabama,35131,4159,Educational psychologist,21,Sunday,1,23,11,8,104.68885280178078,1
Shopping Net,996.29,Female,26572 Hodge Villages Suite 512,Mifflin,Pennsylvania,17058,1909,Mining engineer,65,Friday,43,23,12,7,91.50228911352205,1
Grocery Pos,346.75,Female,76752 David Lodge Apt. 064,Breesport,New York,14816,520,Psychotherapist,28,Monday,51,2,4,3,61.30015706084254,1
Misc Net,857.49,Male,25713 Hamilton Grove Apt. 903,Beaverdam,Ohio,45808,349,Museum/gallery conservator,41,Monday,10,14,2,12,76.89247403438449,1
Personal Care,23.71,Female,653 Jessica Extension Apt. 668,Clifton,South Carolina,29324,167,Museum/gallery conservator,32,Sunday,45,23,8,3,104.17874717324125,1
Shopping Net,987.33,Female,8030 Walker Heights,Belle Fourche,South Dakota,57717,8007,Hospital pharmacist,79,Monday,40,22,29,7,68.39104307549492,1
Shopping Pos,797.87,Female,537 Rice Square Suite 040,Milford,Ohio,45150,31394,Hospital doctor,23,Monday,27,22,21,1,48.69307062319744,1
Shopping Pos,797.81,Female,508 Erin Mount,Daly City,California,94015,107941,"Buyer, industrial",28,Saturday,1,1,16,3,58.56032821173777,1
Grocery Pos,280.99,Male,0207 Griffith Plains Apt. 544,Louisiana,Missouri,63353,4593,"Teacher, early years/pre",80,Thursday,40,2,30,4,109.38115493333537,1
